fp,gp,y0p,fc,gc,y0c,fw,gw,y0w
-1.1715249023197929,,,-1.1718138382493279,,,-0.25,,
0,,,2.5458597827984424e-20,,,-0,,
0,,,8.1976549194256148e-21,,,-0,,
0,,,-1.5616155800620569e-37,,,-0,,
0,,,-9.0649563458378289e-21,,,-0,,
0,,,-1.8250690639863477e-39,,,-0,,
0,,,1.5282949734540121e-37,,,-0,,
0,,,1.289933195958845e-55,,,-0,,
-0.78097047820203125,,,-0.78115463579449496,,,-0.25,,
-0.55232736324795906,,,-0.55247948060943441,,,-0,,
0,,,-1.2565389351432699e-20,,,-0,,
-1.8415945035582381e-10,,,3.9382319832125218e-06,,,-0,,
0,,,-7.5031992386740258e-21,,,-0,,
0,,,-6.3681505667469833e-22,,,-0,,
0,,,-2.7922157357895696e-37,,,-0,,
-0.39048787682718339,,,-0.39058419506042691,,,0.25,,
0,,,-8.5334800337951429e-21,,,0,,
-0.5522257909194126,,,-0.55234607611647402,,,-0.70710678118654757,,
0,,,3.2713489564424456e-21,,,-0,,
0,,,1.4656337120929115e-20,,,-0,,
0,,,3.3019555553774583e-37,,,-0,,
-0.78104230068462366,,,-0.78124896701664248,,,0.25,,
0,,,-1.7424433643199311e-21,,,-0,,
-0.5522257909194126,,,-0.55234607611647246,,,-0.70710678118654757,,
-1.8415945035575929e-10,,,3.938232064494503e-06,,,-0,,
0,,,2.0595071505386208e-20,,,-0,,
-0.78104230068435809,,,-0.78124896701626645,,,0.25,,
0,,,1.5226355788188668e-20,,,0,,
0,,,2.9553933470268122e-20,,,-0,,
0,,,9.4013441211270201e-37,,,-0,,
-0.39048787682703751,,,-0.3905841950602969,,,0.25,,
-0.55232736324795906,,,-0.55247948060950158,,,-0,,
0,,,3.1402818136900592e-21,,,-0,,
-0.78097047820209187,,,-0.78115463579468214,,,-0.25,,
0,,,-1.6600001463410409e-20,,,-0,,
-1.1715249023199732,,,-1.1718138382497425,,,-0.25,,
-1.1710212765961883,,,-1.1710974507289353,,,-0.25,,
0,,,4.6565331210699503e-21,,,-0,,
0,,,3.4093420276233065e-21,,,-0,,
0,,,-2.1070577584047e-37,,,-0,,
0,,,1.0920283638394359e-21,,,-0,,
0,,,-4.7141929879497014e-38,,,-0,,
0,,,1.1605969349273421e-37,,,-0,,
0,,,1.2543405525012454e-56,,,-0,,
-0.780421317894199,,,-0.78028356267629795,,,-0.25,,
-0.55239175887387559,,,-0.55251123405538294,,,-0,,
0,,,-4.4870441618371052e-21,,,-0,,
-1.8414237811735608e-10,,,-0.00018306679165040369,,,-0,,
0,,,-2.0157631021106229e-21,,,-0,,
0,,,-3.709235509690391e-22,,,-0,,
0,,,1.4096449574147944e-37,,,-0,,
-0.39030984897244508,,,-0.39033526635008475,,,0.25,,
0,,,-4.0552615788743329e-21,,,0,,
-0.55170093037092871,,,-0.5516532360806693,,,-0.70710678118654757,,
0,,,4.128940630570651e-22,,,-0,,
0,,,4.378358318472656e-21,,,-0,,
0,,,-6.285381372400297e-39,,,-0,,
-0.78090980741383209,,,-0.78089025886316632,,,0.25,,
0,,,-2.501556209372714e-21,,,-0,,
-0.55170093037092871,,,-0.55165323608076211,,,-0.70710678118654757,,
-1.8414237811714748e-10,,,-0.00018306679153767998,,,-0,,
0,,,3.814093573191139e-21,,,-0,,
-0.78090980741408034,,,-0.78089025886326568,,,0.25,,
0,,,3.6326703784894655e-21,,,0,,
0,,,9.5857848969731e-21,,,-0,,
0,,,-1.5383464455306973e-37,,,-0,,
-0.39030984897250814,,,-0.39033526635019639,,,0.25,,
-0.55239175887387559,,,-0.55251123405532054,,,-0,,
0,,,-1.595975114252355e-21,,,-0,,
-0.78042131789447833,,,-0.78028356267647825,,,-0.25,,
0,,,-6.7968629108982891e-21,,,-0,,
-1.1710212765962824,,,-1.1710974507290131,,,-0.25,,
-1.172775454481658,,,-1.1726646143619528,,,-0.25,,
0,,,-2.4149588361862894e-20,,,-0,,
0,,,-2.4134622664155267e-20,,,-0,,
0,,,-1.2391427774184148e-36,,,-0,,
0,,,-2.3526747938916287e-20,,,-0,,
0,,,1.1447897780144889e-37,,,-0,,
0,,,-3.3933863971179642e-37,,,-0,,
0,,,-9.8307815379286389e-53,,,-0,,
-0.78184085961556549,,,-0.78177281120442521,,,-0.25,,
-0.55286500587580911,,,-0.55281822371782541,,,-0,,
0,,,-1.4662071491289787e-20,,,-0,,
-1.841666312285494e-10,,,1.3734272809317989e-05,,,-0,,
0,,,-1.1803970584477207e-20,,,-0,,
0,,,-2.9400329368836916e-21,,,-0,,
0,,,-1.8022381092812452e-37,,,-0,,
-0.39090757846859531,,,-0.39087063881232442,,,0.25,,
0,,,-1.1387678743626534e-19,,,0,,
-0.55286314836560191,,,-0.55280541948581119,,,-0.70710678118654757,,
0,,,-1.2122075865599307e-20,,,-0,,
0,,,2.8618369192032989e-20,,,-0,,
0,,,-1.0979737192995368e-36,,,-0,,
-0.78184217307379633,,,-0.78178186516403536,,,0.25,,
0,,,-1.0351723323096257e-19,,,-0,,
-0.55286314836560191,,,-0.55280541948571504,,,-0.70710678118654757,,
-1.8416663122853084e-10,,,1.3734272821837732e-05,,,-0,,
0,,,-2.2123041641622478e-22,,,-0,,
-0.7818421730740146,,,-0.78178186516437143,,,0.25,,
0,,,-2.4409767477405125e-20,,,0,,
0,,,4.1602259330484635e-20,,,-0,,
0,,,-1.9506978844066218e-37,,,-0,,
-0.39090757846837326,,,-0.39087063881203832,,,0.25,,
-0.55286500587580911,,,-0.55281822371781464,,,-0,,
0,,,2.4190653709915906e-20,,,-0,,
-0.78184085961570737,,,-0.78177281120465636,,,-0.25,,
