fp,gp,y0p,fc,gc,y0c
4.3888503942213219e-16,2.2007951017144478e-12,0,4.3888503942213219e-16,2.2007951017144478e-12,-3.2851095593302356e-08
-4,2.202127369343998e-12,0,-3.9988370586049431,2.202127369343998e-12,-3.235642430398571e-08
-0.0010627855173550387,2.2034596369735482e-12,0,-0.0010624478529398182,2.2034596369735482e-12,-3.1919570519141503e-08
0.48598512407386413,2.2045698599981733e-12,0,0.48583945936870926,2.2045698599981733e-12,-3.1539196321523402e-08
1.033895191682177e-15,2.205347016115411e-12,0,1.033895191682177e-15,2.205347016115411e-12,-3.1214523069813635e-08
-4,2.2062351945351111e-12,0,-3.9997540579508333,2.2062351945351111e-12,-3.0944968322609458e-08
-0.0011600758072226175,2.2067903060474237e-12,0,-0.0011599707788497798,2.2067903060474237e-12,-3.0729782615624183e-08
0.50038379259469157,2.2073454175597362e-12,0,0.50034818233739664,2.2073454175597362e-12,-3.0568794879032722e-08
-1.3652273755937472e-15,2.2075674621646613e-12,0,-1.3652273755937472e-15,2.2075674621646613e-12,-3.0461627887938725e-08
-4,2.2077895067695863e-12,0,-4.0005946614895933,2.2077895067695863e-12,-3.0408198156740933e-08
-0.0012695404510065325,,,-0.0012696903235544753,,
0.5156519173485884,,,0.51572331510852132,,
6.0021432268797525e-16,,,6.0021432268797525e-16,,
-4,,,-4.0013088220035442,,
-0.001392925379577204,,,-0.00139333720219586,,
0.53184337086154432,,,0.53201180051137065,,
1.5612511283791264e-16,,,1.5612511283791264e-16,,
-4,,,-4.0019139693384389,,
-0.00153226566298838,,,-0.0015329497906700219,,
0.54901705128105593,,,0.54927389483559752,,
7.7368667028565596e-16,,,7.7368667028565596e-16,,
