fp,gp,y0p,fc,gc,y0c
1.3547655081276588e-06,0,0,1.3547655081276588e-06,0,0
2.9947432614030323e-05,-6.0254702367867065e-18,0,2.9947432614030323e-05,-6.0254702367867065e-18,-3.9113647261926975e-05
0,9.3561181682806435e-17,0,0,9.3561181682806435e-17,-0.00066123687382183233
-7.7815704508112749e-11,0,0,-7.7815704508112749e-11,0,0
-9.9977839569664884e-07,3.7768763244442954e-17,0,-9.9977839569664884e-07,3.7768763244442954e-17,9.3635113944911781e-05
0,1.2079542209906652e-16,0,0,1.2079542209906652e-16,0.00062350602754758511
1.3547655081259241e-06,0,0,1.3547655081259241e-06,0,0
2.99474326139193e-05,-1.2834799755452111e-17,0,2.99474326139193e-05,-1.2834799755452111e-17,-3.9657708870877345e-05
0,2.7431484446696691e-16,0,0,2.7431484446696691e-16,-0.00065973188610984391
-0.80014724448769159,0,0,-0.85723133503969962,0,0
-1.4333477342743195,6.9806940949870574e-18,0,-1.449458982101002,6.9806940949870574e-18,9.5857522779016881e-05
1.2654927469546549e-12,-7.0384055503890022e-16,0,0.00023919602257933473,-7.0384055503890022e-16,0.00061552193679728
-1.4586573534032499e-12,0,0,-0.00066108245222004679,0,0
